drug,NSC,n_gene_targets
Abemaciclib,768073,5
Abiraterone,749226,39
Acalabrutinib,791164,1
Actinomycin D,3053,12
Afatinib,750691,9
Allopurinol,1390,13
Arsenic trioxide,92859,22
Asciminib,789925,3
Avapritinib,801082,2
Axitinib,757441,1
Azacitidine,102816,1
Belinostat,758774,5
Binimetinib,764042,23
Bleomycin,125066,16
Bosutinib,765694,1
Brigatinib,787457,8
Cabozantinib,761068,1
Carboplatin,241240,7
Carfilzomib,758252,9
Carmustine,409962,29
Celecoxib,719627,2
Ceritinib,776422,12
Chlorambucil,3088,6
Cisplatin,119875,6
Cladribine,105014,3
Clofarabine,606869,2
Cobimetinib,768068,29
Crizotinib,756645,17
Cyclophosphamide,26271,16
Cytarabine,63878,9
Dabrafenib,764134,40
Dacarbazine,45388,15
Dacomitinib,765888,9
Darolutamide,825331,8
Dasatinib,732517,25
Daunorubicin,82151,12
Decitabine,127716,1
Dexrazoxane,169780,18
Docetaxel,628503,12
Doxorubicin,123127,1
Duvelisib,772469,6
Encorafenib,778304,15
Epirubicin,256942,4
Erdafitinib,781556,10
Erlotinib,718781,11
Estramustine,702294,7
Etoposide,141540,7
Everolimus,733504,11
Fedratinib,767600,2
Fludarabine,312887,4
Fluorouracil,19893,12
Fruquintinib,829498,31
Fulvestrant,719276,2
Gemcitabine,613327,4
Gilteritinib,787846,1
Homoharringtonine,758253,1
Hydroxyurea,32065,7
Ibrutinib,761910,13
Idarubicin,256439,11
Idelalisib,759224,9
Ifosfamide,109724,17
Imatinib,743414,5
Irinotecan,616348,11
Ixabepilone,747973,11
Ixazomib,758254,5
Lapatinib,745750,1
Lenvatinib,755980,18
Lomustine,79037,27
Lorlatinib,780108,2
Melphalan,8806,6
Mercaptopurine,755,27
Methotrexate,740,27
Mitomycin,26980,12
Mitotane,38721,1
Mitoxantrone,279836,6
Neratinib,757439,6
Nilotinib,747599,14
Nitrogen mustard,762,16
Olaparib,753686,1
Osimertinib,779217,2
Oxaliplatin,266046,31
Paclitaxel,125973,10
Palbociclib,758247,26
Panobinostat,761190,1
Pemetrexed,755384,2
Pemigatinib,816556,10
Pipobroman,25154,3
Pralatrexate,754230,2
Pralsetinib,811429,59
Raloxifene,747974,14
Ribociclib,778909,8
Romidepsin,754143,1
Selinexor,780203,3
Selpercatinib,818434,37
Selumetinib,741078,27
Sirolimus,226080,2
Sonidegib,761385,4
Sotorasib,818433,4
Sunitinib,750690,3
Talazoparib,767125,2
Tamoxifen,180973,18
Temsirolimus,683864,1
Teniposide,122819,8
Thiotepa,6396,3
Tioguanine,752,16
Tivozanib,758007,1
Topotecan,609699,2
Trametinib,758246,22
Triethylenemelamine,9706,3
Trifluridine,75520,6
Trilaciclib,816987,21
Tucatinib,764581,2
Uracil mustard,34462,5
Valrubicin,246131,11
Vandetanib,760766,6
Vemurafenib,761431,22
Venetoclax,766270,5
Vinblastine,49842,9
Vinorelbine,608210,1
Vorinostat,701852,18
Zanubrutinib,823807,11
Zoledronate,721517,20
tepotinib,758244,6
umbralisib,800405,5
